time;logger;level;message;exception
2012-05-07 02:58:54.6266;Raven.Database.Server.HttpServer;Debug;Request #   9: GET     -    17 ms - <default>  - 404 - /docs/Raven/Databases/j?noCache=-318771755;
2012-05-07 02:58:55.5796;Raven.Database.Server.HttpServer;Debug;Request #  10: GET     -    31 ms - <default>  - 200 - /stats?noCache=905235542;
2012-05-07 02:58:57.5138;Raven.Database.Server.HttpServer;Debug;Request #  11: GET     -    47 ms - <default>  - 200 - /databases/?pageSize=1024&noCache=-1704498930;
2012-05-07 02:59:01.5690;Raven.Database.Server.HttpServer;Debug;Request #  12: GET     -    34 ms - <default>  - 200 - /stats?noCache=-1917745270;
2012-05-07 02:59:07.6193;Raven.Database.Server.HttpServer;Debug;Request #  13: GET     -    37 ms - <default>  - 200 - /databases/?pageSize=1024&noCache=-3463099;
2012-05-07 02:59:07.6193;Raven.Database.Server.HttpServer;Debug;Request #  14: GET     -    41 ms - <default>  - 200 - /stats?noCache=-1598276842;
2012-05-07 02:59:12.6686;Raven.Database.Server.HttpServer;Debug;Request #  15: GET     -    27 ms - <default>  - 200 - /databases/?pageSize=1024&noCache=-1228408449;
2012-05-07 02:59:12.6686;Raven.Database.Server.HttpServer;Debug;Request #  16: GET     -    32 ms - <default>  - 200 - /stats?noCache=-1600091691;
2012-05-07 02:59:18.7220;Raven.Database.Server.HttpServer;Debug;Request #  17: GET     -    35 ms - <default>  - 200 - /stats?noCache=-224427147;
2012-05-07 03:00:05.1496;Raven.Database.Server.HttpServer;Debug;Request #  18: GET     -    76 ms - <default>  - 200 - /stats?noCache=1579110925;
